@RELATION svm_STU_model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {Gyungmin_wav,Jukook,HH,SH}

@DATA
0.065189,0.007174,3.054583,0.141012,0.192876,0.335284,0.006050,0.104776,-28.127077,2.960415,-1.248468,0.110626,0.347276,-0.290449,-0.451907,0.105777,-0.148376,-0.170300,0.047230,0.302443,0.023096,0.011492,0.009335,0.016405,0.013243,0.029087,0.015435,0.017305,0.006704,0.015250,0.014815,0.015167,0.006015,0.011234,0.059121,0.010971,0.194921,0.078550,0.044048,0.476154,0.002442,0.124495,2.177221,0.401923,0.384186,0.350663,0.344928,0.397591,0.303497,0.202436,0.248381,0.342135,0.245363,0.193506,0.175234,0.007024,0.007735,0.009824,0.009462,0.015421,0.013047,0.012561,0.007830,0.012359,0.010116,0.011957,0.003404,0.004313,109.090909,0.161290,Gyungmin_wav
0.066171,0.006571,3.083873,0.138082,0.185197,0.377121,0.006330,0.113982,-28.358750,2.809997,-1.157682,-0.032688,0.309472,-0.085685,-0.505211,0.105567,-0.115438,-0.095837,-0.001799,0.269812,0.046001,0.011069,0.014509,0.014834,0.010240,0.026048,0.013113,0.018966,0.005662,0.016278,0.018058,0.018948,0.007923,0.012387,0.073269,0.010451,0.198300,0.092495,0.037307,0.576679,0.003177,0.182390,2.426861,0.576493,0.450111,0.323822,0.432906,0.492376,0.338598,0.223430,0.203759,0.318924,0.210867,0.195214,0.163225,0.009539,0.013173,0.010196,0.008272,0.015773,0.009274,0.014367,0.006194,0.013348,0.013879,0.013502,0.006980,0.003776,120.000000,0.187500,Gyungmin_wav
0.065988,0.009454,3.086794,0.139680,0.190726,0.337112,0.006223,0.105178,-27.603648,2.998122,-1.189043,0.203442,0.322831,-0.185654,-0.477910,0.084591,-0.107726,-0.058002,-0.029253,0.290448,0.089761,0.012370,0.011514,0.017289,0.010467,0.030829,0.016742,0.020038,0.003981,0.016447,0.013686,0.012870,0.006075,0.012384,0.082003,0.013635,0.152881,0.090656,0.046709,0.598913,0.002952,0.172303,2.357203,0.670378,0.445018,0.252933,0.371066,0.482850,0.297141,0.158596,0.256175,0.292115,0.228708,0.169058,0.151359,0.009687,0.012055,0.010031,0.006584,0.022078,0.010852,0.015312,0.004122,0.015019,0.008117,0.009050,0.004233,0.005039,120.000000,0.172414,Gyungmin_wav
0.071297,0.009786,3.056955,0.138426,0.182816,0.364101,0.006665,0.129917,-27.790667,2.972183,-1.288059,0.165819,0.333113,-0.191362,-0.522294,0.078750,-0.098961,-0.062480,0.007215,0.330784,-0.034416,0.011419,0.021121,0.020629,0.008701,0.026992,0.012226,0.018135,0.007044,0.013117,0.013885,0.013651,0.006522,0.013645,0.085783,0.013810,0.233501,0.110224,0.039141,0.690692,0.004090,0.215978,2.486128,0.551500,0.591439,0.400075,0.375431,0.504030,0.251532,0.232602,0.168491,0.276707,0.244123,0.209049,0.166788,0.010178,0.028589,0.019108,0.006383,0.018329,0.008291,0.014554,0.008267,0.011046,0.010643,0.009514,0.005454,0.007486,150.000000,0.241379,Gyungmin_wav
0.061697,0.005537,3.094756,0.131975,0.185368,0.331376,0.006706,0.106051,-28.568097,2.961140,-1.127099,0.093803,0.378022,-0.259683,-0.517944,0.014707,-0.104191,-0.174486,-0.027339,0.244604,-0.018991,0.018779,0.017898,0.024586,0.008846,0.023052,0.018587,0.014311,0.004983,0.019265,0.012063,0.013368,0.006434,0.013848,0.060023,0.008478,0.171034,0.072418,0.039676,0.469424,0.003308,0.119492,2.319094,0.447741,0.496408,0.306741,0.405909,0.504079,0.234530,0.177661,0.225139,0.316508,0.241997,0.187689,0.160496,0.012042,0.027652,0.019248,0.006118,0.016074,0.013426,0.009348,0.005940,0.014866,0.010186,0.009606,0.005937,0.006654,133.333333,0.166667,Gyungmin_wav
0.091397,0.006022,3.107419,0.198656,0.228693,0.729431,0.006105,0.201325,-27.567562,2.363151,-0.609661,0.000405,0.342556,-0.271628,-0.740559,0.139513,-0.069910,-0.229512,0.091201,0.294544,-0.014372,0.009227,0.012571,0.011766,0.008695,0.028742,0.015074,0.030799,0.002663,0.017763,0.015258,0.013381,0.004401,0.014882,0.063245,0.009047,0.182448,0.091170,0.058943,0.642105,0.003817,0.198786,1.491477,0.744176,0.704081,0.352677,0.355700,0.257761,0.366727,0.241434,0.188720,0.219917,0.136502,0.197295,0.186848,0.007735,0.015461,0.008925,0.005743,0.027546,0.014403,0.027264,0.003048,0.015857,0.009601,0.010885,0.004182,0.008345,200.000000,0.230769,Gyungmin_wav
0.091700,0.005579,3.094356,0.181373,0.212201,0.676671,0.005326,0.174200,-28.047576,2.175031,-0.513953,0.018796,0.317499,-0.267546,-0.766805,0.129996,-0.151870,-0.231381,0.010453,0.227809,-0.041917,0.012952,0.010049,0.011353,0.009151,0.024737,0.015289,0.031871,0.003104,0.015328,0.016913,0.013032,0.005281,0.013286,0.075101,0.009339,0.150766,0.095719,0.053200,0.686312,0.003125,0.218234,1.707587,0.824845,0.760061,0.330090,0.364223,0.257055,0.367717,0.269203,0.196529,0.203444,0.170764,0.198153,0.162917,0.011752,0.007961,0.008139,0.006569,0.018300,0.010860,0.024419,0.002844,0.014265,0.013143,0.010897,0.003711,0.006685,171.428571,0.282609,Gyungmin_wav
0.104957,0.004247,3.070283,0.199440,0.220995,0.751581,0.006772,0.241150,-28.763763,2.513862,-0.795525,0.043886,0.516814,-0.330984,-0.563752,0.125323,-0.082305,-0.206346,0.048555,0.246766,-0.066557,0.012407,0.014424,0.011216,0.009819,0.022499,0.009617,0.027588,0.003966,0.015709,0.013157,0.013532,0.005004,0.013190,0.100920,0.007939,0.264876,0.122317,0.061839,0.808418,0.005246,0.281288,2.398450,0.756600,0.704763,0.419952,0.474915,0.344033,0.277812,0.229473,0.206207,0.238833,0.173054,0.155499,0.145287,0.008995,0.015746,0.008361,0.008976,0.018254,0.007532,0.024569,0.006198,0.018160,0.011155,0.009947,0.003989,0.008322,200.000000,0.230769,Gyungmin_wav
0.080753,0.004280,3.079032,0.167578,0.207443,0.551947,0.006110,0.141553,-28.765385,2.460530,-0.666584,-0.031061,0.306768,-0.336660,-0.716250,0.099098,-0.144202,-0.169785,0.108943,0.269708,0.007754,0.010144,0.009731,0.012719,0.009155,0.023842,0.028191,0.021761,0.003784,0.017664,0.012748,0.012642,0.005821,0.013638,0.063046,0.007047,0.189660,0.089247,0.047486,0.583108,0.003491,0.180529,1.970990,0.754585,0.804633,0.355217,0.350192,0.282035,0.353334,0.226877,0.226574,0.243714,0.198516,0.178112,0.145611,0.007563,0.009140,0.009735,0.007649,0.016507,0.026769,0.015809,0.004716,0.018486,0.010770,0.012426,0.004476,0.007650,200.000000,0.232558,Gyungmin_wav
0.076770,0.004836,3.099044,0.147548,0.188919,0.562438,0.006072,0.138461,-28.360665,2.301059,-0.637076,0.066322,0.212378,-0.166352,-0.699465,0.174261,-0.050267,-0.216348,0.073437,0.275219,-0.001062,0.014108,0.011560,0.010177,0.009283,0.024644,0.014467,0.026882,0.002773,0.019018,0.015042,0.011835,0.006823,0.013195,0.065926,0.007351,0.183512,0.081360,0.046675,0.629170,0.003379,0.168044,1.926814,0.961857,0.806457,0.350429,0.367102,0.254876,0.291584,0.259733,0.175159,0.196560,0.195474,0.157238,0.164917,0.011318,0.011741,0.007465,0.005009,0.015659,0.011098,0.027289,0.002868,0.018541,0.013988,0.011081,0.006678,0.007483,200.000000,0.303030,Gyungmin_wav
